Scaffold rank,Compounds,Severe cliffs,Cliff density,Intra-scaffold sigma,Mean pIC50,Contains patent-excl,Scaffold SMILES
6,44,0,0.0,0.2582990979195826,7.130276571014431,False,O=C(c1ccc2[nH]c(-c3cc4ccc(-c5ccccc5)cc4n3CC3CC3)nc2c1)N1CC2CCC1C2
7,39,0,0.0,0.4249184116673742,6.411991071713919,False,O=C(c1ccc2cc(-c3cc4ccc(-c5ccccc5)cc4n3CC3CC3)nn2c1)N1CCCCC1
8,33,0,0.0,0.2941827363872838,7.153368327614136,False,O=C(c1ccc2[nH]c(-c3cc4ccc(-c5cccnc5)nc4n3CC3CC3)nc2c1)N1CC2CCC1C2
9,29,0,0.0,0.5144224944129852,7.126068364707727,True,O=C(c1ccc2cc(-c3cc4cccc(C5CCN(C(=O)C6CCCCC6)CC5)c4n3CC3CC3)nn2c1)N1CCCCC1
10,28,0,0.0,0.5041264523413669,4.666316829884536,False,O=C(/C=C/c1cncnc1)c1c(-c2ccccc2)c2ccccc2[nH]c1=O
11,28,0,0.0,0.5256120176356864,5.230797588037673,False,O=C(/C=C/c1cccnc1)c1c(-c2ccccc2)c2ccccc2[nH]c1=O
12,27,0,0.0,0.5223624608652547,5.208830508300389,True,O=C(/C=C/c1cccnc1)C1C(=O)NC2CCCCC2C1c1ccccc1
13,27,0,0.0,0.3155144427126579,6.96494840014505,False,O=C(c1ccc2[nH]c(-c3cc4ccc(-c5cccnc5)nc4n3CC3CC3)nc2c1)N1CCCCC1
14,23,0,0.0,0.319858189096613,5.763942330885893,False,O=C(c1ccn2cc(-c3cc4ccccc4n3Cc3ccccc3)nc2c1)N1CCCCC1
15,22,0,0.0,0.6644751491257067,6.824379366959746,False,O=C(c1ccc2cc(-c3cc4ccc(-c5ccccc5)nc4n3CC3CC3)nn2c1)N1CC2CCC1C2
16,20,0,0.0,0.23564276435256,7.034329719695903,False,O=C(c1ccc2[nH]c(-c3cc4ccc(-c5ccccc5)cc4n3CC3CC3)nc2c1)N1C[C@H]2CC[C@@H]1C2
17,19,0,0.0,0.3157465437170917,6.194886563294993,False,O=C1NCCc2cc3[nH]c(-c4cc5ccccc5[nH]4)nc3cc21
18,18,0,0.0,0.571258157627552,4.64539167996028,True,O=C(/C=C/c1cncnc1)C1C(=O)NC2CCCCC2C1c1ccccc1
19,18,0,0.0,0.4157074801155941,6.732320401573219,False,O=C(c1ccc2cc(-c3cc4ccc(N5CCCCC5)cc4n3CC3CC3)nn2c1)N1CCCCC1
20,16,0,0.0,0.3117907227147754,6.619783713468758,False,O=C(c1ccc2cc(-c3cc4ccc(-c5ccccc5)nc4n3CC3CC3)nn2c1)N1CCCCC1
21,16,0,0.0,0.4847072664090783,6.94151768097526,True,O=C(c1ccc2cc(-c3cc4cccc(C5CN(C(=O)C6CCCCC6)C5)c4n3CC3CC3)nn2c1)N1CCCCC1
22,16,0,0.0,0.5288259145494149,6.29329267280202,False,O=C(c1ccc2cc(-c3cc4cccc(C5CNC5)c4n3CC3CC3)nn2c1)N1CCCCC1
23,16,0,0.0,0.1144364474677243,6.854701656723162,False,O=C(NCc1ccc2cc(-c3nc4cc(C(=O)N5CCCCN5)ccc4[nH]3)n(CC3CC3)c2n1)c1ccccc1
24,16,0,0.0,0.2701309487446262,7.108037380041979,False,O=C(c1ccc2[nH]c(-c3cc4ccc(-c5ccccc5)nc4n3CC3CC3)nc2c1)N1C[C@H]2CC[C@@H]1C2
25,15,0,0.0,0.304432465554856,7.329483642316402,False,O=C(c1ccc2[nH]c(-c3cc4ccc(Nc5ccncc5)nc4n3CC3CC3)nc2c1)N1CC2CCC1C2
26,15,0,0.0,0.5215982898162564,6.672337384231499,False,O=C(c1ccc2[nH]c(-c3cc4ccc(-c5ccccc5)cc4n3CC3CC3)nc2c1)N1CCCCC1
28,14,0,0.0,0.3536401295607851,5.805177646989054,False,O=C(c1ccn2cc(-c3cc4ccccc4[nH]3)nc2c1)N1CCCCC1
29,13,0,0.0,0.5844219380685898,6.358802727616543,False,O=C(c1ccc2cc(-c3cc4cccnc4n3CC3CC3)nn2c1)N1CCCCC1
30,12,0,0.0,0.4953500306876188,7.208782028009929,False,O=C(c1ccc2cc(-c3cc4cccnc4n3CC3CC3)nn2c1)N1CC2CCC1C2
31,12,0,0.0,0.3833258030840073,5.690444733765648,False,O=C(c1ccn2cc(-c3cc4ccccc4n3CC3CC3)nc2c1)N1CCCCC1
33,12,0,0.0,0.3282185584584298,5.719352974641023,False,O=C(CNC(=O)c1cc2c([nH]c3ccccc32)c(-c2ccccc2)n1)NCc1ccccc1
34,12,0,0.0,1.257861737367918,4.066610235994542,False,c1ccccc1
35,11,0,0.0,0.2689897449343531,6.587169457931799,False,O=C1NCCc2cc3[nH]c(-c4cc5ccccc5n4Cc4ccno4)nc3cc21
36,11,0,0.0,0.5914062516089647,7.513016624906655,False,O=C1NCCc2cc3[nH]c(-c4cc5cccc(OCCn6ccnc6)c5n4CC4CC4)nc3cc21
37,11,0,0.0,0.4280666675880348,4.5686746179837545,False,O=C(/C=C/c1ccccc1)c1c(-c2ccccc2)c2ccccc2[nH]c1=O
39,10,0,0.0,0.148613640756888,7.110166643711617,False,O=C(NCc1ccc2cc(-c3nc4cc(C(=O)N5CC[C@@H]6CC[C@H]5C6)ccc4[nH]3)n(CC3CC3)c2n1)C1CC1
40,10,0,0.0,0.3330221124520484,7.13578631142545,False,O=C1CC(COc2cccc3cc(-c4cc5ccc(C(=O)N6CCCCC6)cn5n4)n(CC4CC4)c23)CN1
41,10,0,0.0,0.148613640756888,7.110166643711617,True,O=C(NCc1ccc2cc(-c3nc4cc(C(=O)N5CC[C@H]6CC[C@@H]5C6)ccc4[nH]3)n(CC3CC3)c2n1)C1CC1
42,9,0,0.0,0.2378704373455868,6.877871383977513,False,O=C(c1ccc2[nH]c(-c3cc4ccc(-c5ccncc5)nc4n3CC3CC3)nc2c1)N1CC2CCC1C2
43,9,0,0.0,0.1268764080814331,6.964369652589124,False,O=C(c1ccc2[nH]c(-c3cc4ccc(Nc5ccccc5)nc4n3CC3CC3)nc2c1)N1CC2CCC1C2
44,9,0,0.0,0.1398357668825529,7.287232356494625,False,O=C(c1ccc2[nH]c(-c3cc4sccc4n3CC3CC3)nc2c1)N1C[C@H]2CC[C@@H]1C2
45,9,0,0.0,0.39011536762728,5.828793666615386,False,O=C(CNC(=O)c1cc2c(cn1)[nH]c1ccccc12)NCc1ccccc1
46,9,0,0.0,0.4666966380850046,7.258077289539609,False,O=C1Cc2cc(-c3ccc4cc(-c5nc6cc(C(=O)N7CC8CCC7C8)ccc6[nH]5)n(CC5CC5)c4n3)ccc2N1
47,8,0,0.0,0.2835092002371442,6.964634469545437,False,O=C(c1ccc2[nH]c(-c3cc4ccc(-c5ccccn5)nc4n3CC3CC3)nc2c1)N1CC2CCC1C2
48,8,0,0.0,0.1097390573490275,7.137945261359969,True,O=C(NCc1ccc2cc(-c3nc4cc(C(=O)N5CC[C@H]6CC[C@@H]5C6)ccc4[nH]3)n(CC3CC3)c2n1)c1cccnc1
49,8,0,0.0,0.1097390573490273,7.137945261359969,False,O=C(NCc1ccc2cc(-c3nc4cc(C(=O)N5CC[C@@H]6CC[C@H]5C6)ccc4[nH]3)n(CC3CC3)c2n1)c1cccnc1
50,8,0,0.0,0.5871762327956843,6.518296155332905,False,O=C(c1ccc2cc(-c3cc4ccc(-c5ccccc5)cc4n3CC3CC3)oc2c1)N1CC2CCC1C2
51,8,0,0.0,0.1835047674452587,6.396160475128977,False,O=C1NCCc2cc3[nH]c(-c4cc5cccnc5n4CC4CC4)nc3cc21
53,8,0,0.0,0.3110355075409771,7.232893538580074,False,O=C(c1ccc2[nH]c(-c3cc4ccc(-c5ccc6[nH]c(=O)ccc6c5)nc4n3CC3CC3)nc2c1)N1CC2CCC1C2
54,7,0,0.0,0.6491117414122127,6.817204657901003,False,O=C1NCCc2cc3[nH]c(-c4cc5cccc(OCCn6cncn6)c5n4CC4CC4)nc3cc21
55,7,0,0.0,0.1329033009943546,5.651327317445825,False,O=C(c1ccc2cc(-c3cc4ccc(N5CCCCC5)nc4n3CC3CC3)nn2c1)N1CCCCC1
56,7,0,0.0,0.2712681886316607,7.047262884827306,False,O=C1Cc2cc(-c3ccc4cc(-c5nc6cc(C(=O)N7CCCCC7)ccc6[nH]5)n(CC5CC5)c4n3)ccc2N1
