inchi_key_a,inchi_key_b,tanimoto,pic50_a,pic50_b,delta_pic50,cliff_tier,source_combination,patent_exclusive_a,patent_exclusive_b,any_patent_exclusive,ecfp4_only_cliff,tanimoto_ecfp6
RKLNNGQJROHZOF-GNTVVGMTSA-N,DYXJONFPYHVUNN-QYHPCCJNSA-N,0.85714287,7.721246399047171,6.318758762624412,1.4024876364227588,broad,bindingdb|chembl|pubchem_confirmatory|bindingdb|chembl|pubchem_confirmatory,False,False,False,False,
RKLNNGQJROHZOF-GNTVVGMTSA-N,JPLPPBQBZHFMMU-BYICHJTDSA-N,0.8181818,7.721246399047171,6.025488307262672,1.6957580917844988,moderate,bindingdb|chembl|pubchem_confirmatory|bindingdb|chembl|pubchem_confirmatory,False,False,False,False,
RKLNNGQJROHZOF-GNTVVGMTSA-N,UGYGQLAFRCVHJW-JWJBQAENSA-N,0.8674699,7.721246399047171,5.685922008220788,2.035324390826383,severe,bindingdb|chembl|pubchem_confirmatory|bindingdb|chembl|pubchem_confirmatory,False,False,False,False,0.8103448275862069
RKLNNGQJROHZOF-GNTVVGMTSA-N,DVTGDRXLJWGNBG-JAEXGXQOSA-N,0.8352941,7.721246399047171,6.510041520575165,1.2112048784720058,broad,bindingdb|chembl|pubchem_confirmatory|bindingdb|chembl|pubchem_confirmatory,False,False,False,False,
RKLNNGQJROHZOF-GNTVVGMTSA-N,BJEGYQKJPTWECF-CCWBKVMBSA-N,0.8255814,7.721246399047171,6.330683119433888,1.390563279613283,broad,bindingdb|chembl|pubchem_confirmatory|bindingdb|chembl|pubchem_confirmatory,False,False,False,False,
RKLNNGQJROHZOF-GNTVVGMTSA-N,RAVBZQAQTVGKIV-XBPDSQQVSA-N,0.84705883,7.721246399047171,5.340844719059372,2.3804016799877994,severe,bindingdb|chembl|pubchem_confirmatory|bindingdb|chembl|pubchem_confirmatory,False,False,False,False,0.7899159663865546
RKLNNGQJROHZOF-GNTVVGMTSA-N,FQMRJTKRSGTZGA-CRLCSLCLSA-N,0.85542166,7.721246399047171,6.320572103387882,1.4006742956592895,broad,bindingdb|chembl|pubchem_confirmatory|bindingdb|chembl|pubchem_confirmatory,False,False,False,False,
RKLNNGQJROHZOF-GNTVVGMTSA-N,VOBZGOGESGOLJC-PWJCZFGMSA-N,0.8,7.721246399047171,6.181774106386044,1.5394722926611273,moderate,bindingdb|chembl|pubchem_confirmatory|bindingdb|chembl|pubchem_confirmatory,False,False,False,False,
RKLNNGQJROHZOF-GNTVVGMTSA-N,FEAAPSIVYRPJMS-ZHKUBPBOSA-N,0.8095238,7.721246399047171,6.268411234813261,1.4528351642339103,broad,bindingdb|chembl|pubchem_confirmatory|bindingdb|chembl|pubchem_confirmatory,False,False,False,False,
RKLNNGQJROHZOF-GNTVVGMTSA-N,ZKDOHXNBYTYCME-BTDDGAACSA-N,0.8452381,7.721246399047171,6.58838029403677,1.1328661050104012,broad,bindingdb|chembl|pubchem_confirmatory|bindingdb|chembl|pubchem_confirmatory,False,False,False,False,
RKLNNGQJROHZOF-GNTVVGMTSA-N,JLGGAYUHFPLCCK-IKXBFRDRSA-N,0.81609195,7.721246399047171,5.8655041441653255,1.8557422548818456,moderate,bindingdb|chembl|pubchem_confirmatory|bindingdb|chembl|pubchem_confirmatory,False,False,False,False,
RKLNNGQJROHZOF-GNTVVGMTSA-N,QXAORQAEXXCHPT-TWDLTGNASA-N,0.8352941,7.721246399047171,6.355561410532161,1.3656849885150102,broad,bindingdb|chembl|pubchem_confirmatory|bindingdb|chembl|pubchem_confirmatory,False,False,False,False,
RKLNNGQJROHZOF-GNTVVGMTSA-N,IEDUCHTZVMPXRI-TWDLTGNASA-N,0.8433735,7.721246399047171,6.481486060122112,1.239760338925059,broad,bindingdb|chembl|pubchem_confirmatory|bindingdb|chembl|pubchem_confirmatory,False,False,False,False,
RKLNNGQJROHZOF-GNTVVGMTSA-N,HXZFQFCWZRGQQD-ZCOOMOTNSA-N,0.81609195,7.721246399047171,6.7121982700697735,1.0090481289773976,broad,bindingdb|chembl|pubchem_confirmatory|bindingdb|chembl|pubchem_confirmatory,False,False,False,False,
RKLNNGQJROHZOF-GNTVVGMTSA-N,MTZMCRXHAIXVMF-LCRYKWFRSA-N,0.81395346,7.721246399047171,6.621602099051863,1.0996442999953082,broad,bindingdb|chembl|pubchem_confirmatory|bindingdb|chembl|pubchem_confirmatory,False,False,False,False,
RKLNNGQJROHZOF-GNTVVGMTSA-N,XKZWCVYYFYFPGX-LDZQUKMZSA-N,0.8255814,7.721246399047171,6.47755576649368,1.2436906325534913,broad,bindingdb|chembl|pubchem_confirmatory|bindingdb|chembl|pubchem_confirmatory,False,False,False,False,
RKLNNGQJROHZOF-GNTVVGMTSA-N,AAUHSICUDJELSM-FWLHTVFYSA-N,0.8372093,7.721246399047171,5.945770090136603,1.7754763089105685,moderate,bindingdb|chembl|pubchem_confirmatory|bindingdb|chembl|pubchem_confirmatory,False,False,False,False,
OVKUPCYWVASQOA-GNTVVGMTSA-N,UGYGQLAFRCVHJW-JWJBQAENSA-N,0.84705883,6.892790030352131,5.685922008220788,1.206868022131343,broad,bindingdb|chembl|pubchem_confirmatory|bindingdb|chembl|pubchem_confirmatory,False,False,False,False,
OVKUPCYWVASQOA-GNTVVGMTSA-N,RAVBZQAQTVGKIV-XBPDSQQVSA-N,0.82758623,6.892790030352131,5.340844719059372,1.5519453112927595,moderate,bindingdb|chembl|pubchem_confirmatory|bindingdb|chembl|pubchem_confirmatory,False,False,False,False,
QKVYSDCHEISRAD-QMCAYLGFSA-N,UGYGQLAFRCVHJW-JWJBQAENSA-N,0.8181818,7.115323926374441,5.685922008220788,1.429401918153653,broad,bindingdb|chembl|pubchem_confirmatory|bindingdb|chembl|pubchem_confirmatory,False,False,False,False,
QKVYSDCHEISRAD-QMCAYLGFSA-N,RAVBZQAQTVGKIV-XBPDSQQVSA-N,0.8,7.115323926374441,5.340844719059372,1.7744792073150695,moderate,bindingdb|chembl|pubchem_confirmatory|bindingdb|chembl|pubchem_confirmatory,False,False,False,False,
WQBKJMLHCGEYDB-CDNDPLPTSA-N,UGYGQLAFRCVHJW-JWJBQAENSA-N,0.8255814,6.950781977329818,5.685922008220788,1.2648599691090299,broad,bindingdb|chembl|pubchem_confirmatory|bindingdb|chembl|pubchem_confirmatory,False,False,False,False,
WQBKJMLHCGEYDB-CDNDPLPTSA-N,RAVBZQAQTVGKIV-XBPDSQQVSA-N,0.8068182,6.950781977329818,5.340844719059372,1.6099372582704463,moderate,bindingdb|chembl|pubchem_confirmatory|bindingdb|chembl|pubchem_confirmatory,False,False,False,False,
WQBKJMLHCGEYDB-CDNDPLPTSA-N,AAUHSICUDJELSM-FWLHTVFYSA-N,0.83908045,6.950781977329818,5.945770090136603,1.0050118871932154,broad,bindingdb|chembl|pubchem_confirmatory|bindingdb|chembl|pubchem_confirmatory,False,False,False,False,
VOBMJGLLNSFXJJ-GNTVVGMTSA-N,UGYGQLAFRCVHJW-JWJBQAENSA-N,0.81609195,6.97469413473523,5.685922008220788,1.2887721265144414,broad,bindingdb|chembl|pubchem_confirmatory|bindingdb|chembl|pubchem_confirmatory,False,False,False,False,
SISJIUNOAHDNFN-CDNDPLPTSA-N,VOBZGOGESGOLJC-PWJCZFGMSA-N,0.8764045,7.1938200260161125,6.181774106386044,1.0120459196300686,broad,bindingdb|chembl|pubchem_confirmatory|bindingdb|chembl|pubchem_confirmatory,False,False,False,False,
SISJIUNOAHDNFN-CDNDPLPTSA-N,AAUHSICUDJELSM-FWLHTVFYSA-N,0.8111111,7.1938200260161125,5.945770090136603,1.2480499358795099,broad,bindingdb|chembl|pubchem_confirmatory|bindingdb|chembl|pubchem_confirmatory,False,False,False,False,
WQNCRDJMLQSQCQ-UCDZCMRKSA-N,SMADULGDNOCLOP-GISFHXKWSA-N,0.8202247,7.376750709602099,5.389872386924004,1.9868783226780948,moderate,bindingdb|chembl|pubchem_confirmatory|bindingdb|chembl|pubchem_confirmatory,False,False,False,False,
WQNCRDJMLQSQCQ-UCDZCMRKSA-N,UGYGQLAFRCVHJW-JWJBQAENSA-N,0.8604651,7.376750709602099,5.685922008220788,1.690828701381311,moderate,bindingdb|chembl|pubchem_confirmatory|bindingdb|chembl|pubchem_confirmatory,False,False,False,False,
WQNCRDJMLQSQCQ-UCDZCMRKSA-N,RAVBZQAQTVGKIV-XBPDSQQVSA-N,0.86206895,7.376750709602099,5.340844719059372,2.0359059905427275,severe,bindingdb|chembl|pubchem_confirmatory|bindingdb|chembl|pubchem_confirmatory,False,False,False,False,0.825
WQNCRDJMLQSQCQ-UCDZCMRKSA-N,QXAORQAEXXCHPT-TWDLTGNASA-N,0.80898875,7.376750709602099,6.355561410532161,1.0211892990699383,broad,bindingdb|chembl|pubchem_confirmatory|bindingdb|chembl|pubchem_confirmatory,False,False,False,False,
WQNCRDJMLQSQCQ-UCDZCMRKSA-N,VPRIXAPXYJHZRG-RXEARMEOSA-N,0.82608694,7.376750709602099,6.130181792020672,1.2465689175814276,broad,bindingdb|chembl|pubchem_confirmatory|bindingdb|chembl|pubchem_confirmatory,False,False,False,False,
PXZNCRDFWANNQW-STHVYQTBSA-N,JPLPPBQBZHFMMU-BYICHJTDSA-N,0.8181818,7.173925197299173,6.025488307262672,1.1484368900365007,broad,bindingdb|chembl|pubchem_confirmatory|bindingdb|chembl|pubchem_confirmatory,False,False,False,False,
PXZNCRDFWANNQW-STHVYQTBSA-N,UGYGQLAFRCVHJW-JWJBQAENSA-N,0.8452381,7.173925197299173,5.685922008220788,1.488003189078385,broad,bindingdb|chembl|pubchem_confirmatory|bindingdb|chembl|pubchem_confirmatory,False,False,False,False,
PXZNCRDFWANNQW-STHVYQTBSA-N,RAVBZQAQTVGKIV-XBPDSQQVSA-N,0.8255814,7.173925197299173,5.340844719059372,1.8330804782398014,moderate,bindingdb|chembl|pubchem_confirmatory|bindingdb|chembl|pubchem_confirmatory,False,False,False,False,
PXZNCRDFWANNQW-STHVYQTBSA-N,JLGGAYUHFPLCCK-IKXBFRDRSA-N,0.81609195,7.173925197299173,5.8655041441653255,1.3084210531338476,broad,bindingdb|chembl|pubchem_confirmatory|bindingdb|chembl|pubchem_confirmatory,False,False,False,False,
PXZNCRDFWANNQW-STHVYQTBSA-N,AAUHSICUDJELSM-FWLHTVFYSA-N,0.8372093,7.173925197299173,5.945770090136603,1.2281551071625705,broad,bindingdb|chembl|pubchem_confirmatory|bindingdb|chembl|pubchem_confirmatory,False,False,False,False,
NMDHUPBWDLBTIY-QYHPCCJNSA-N,DYXJONFPYHVUNN-QYHPCCJNSA-N,0.8181818,7.4089353929735005,6.318758762624412,1.090176630349088,broad,bindingdb|chembl|pubchem_confirmatory|bindingdb|chembl|pubchem_confirmatory,False,False,False,False,
NMDHUPBWDLBTIY-QYHPCCJNSA-N,UGYGQLAFRCVHJW-JWJBQAENSA-N,0.8068182,7.4089353929735005,5.685922008220788,1.7230133847527123,moderate,bindingdb|chembl|pubchem_confirmatory|bindingdb|chembl|pubchem_confirmatory,False,False,False,False,
NMDHUPBWDLBTIY-QYHPCCJNSA-N,AAUHSICUDJELSM-FWLHTVFYSA-N,0.8,7.4089353929735005,5.945770090136603,1.4631653028368978,broad,bindingdb|chembl|pubchem_confirmatory|bindingdb|chembl|pubchem_confirmatory,False,False,False,False,
TZPKGQDKWPGOGH-VDOBOPNRSA-N,SMADULGDNOCLOP-GISFHXKWSA-N,0.8068182,7.4685210829577455,5.389872386924004,2.078648696033741,severe,bindingdb|chembl|pubchem_confirmatory|bindingdb|chembl|pubchem_confirmatory,False,False,False,False,0.7222222222222222
TZPKGQDKWPGOGH-VDOBOPNRSA-N,DYXJONFPYHVUNN-QYHPCCJNSA-N,0.81609195,7.4685210829577455,6.318758762624412,1.1497623203333331,broad,bindingdb|chembl|pubchem_confirmatory|bindingdb|chembl|pubchem_confirmatory,False,False,False,False,
TZPKGQDKWPGOGH-VDOBOPNRSA-N,UGYGQLAFRCVHJW-JWJBQAENSA-N,0.8915663,7.4685210829577455,5.685922008220788,1.7825990747369573,moderate,bindingdb|chembl|pubchem_confirmatory|bindingdb|chembl|pubchem_confirmatory,False,False,False,False,
TZPKGQDKWPGOGH-VDOBOPNRSA-N,BJEGYQKJPTWECF-CCWBKVMBSA-N,0.8068182,7.4685210829577455,6.330683119433888,1.1378379635238574,broad,bindingdb|chembl|pubchem_confirmatory|bindingdb|chembl|pubchem_confirmatory,False,False,False,False,
TZPKGQDKWPGOGH-VDOBOPNRSA-N,RAVBZQAQTVGKIV-XBPDSQQVSA-N,0.89285713,7.4685210829577455,5.340844719059372,2.127676363898374,severe,bindingdb|chembl|pubchem_confirmatory|bindingdb|chembl|pubchem_confirmatory,False,False,False,False,0.8389830508474576
TZPKGQDKWPGOGH-VDOBOPNRSA-N,JLGGAYUHFPLCCK-IKXBFRDRSA-N,0.83908045,7.4685210829577455,5.8655041441653255,1.60301693879242,moderate,bindingdb|chembl|pubchem_confirmatory|bindingdb|chembl|pubchem_confirmatory,False,False,False,False,
TZPKGQDKWPGOGH-VDOBOPNRSA-N,QXAORQAEXXCHPT-TWDLTGNASA-N,0.85882354,7.4685210829577455,6.355561410532161,1.1129596724255846,broad,bindingdb|chembl|pubchem_confirmatory|bindingdb|chembl|pubchem_confirmatory,False,False,False,False,
QHSMRYISOOYAKE-UCDZCMRKSA-N,UGYGQLAFRCVHJW-JWJBQAENSA-N,0.8604651,7.181255135243745,5.685922008220788,1.495333127022957,broad,bindingdb|chembl|pubchem_confirmatory|bindingdb|chembl|pubchem_confirmatory,False,False,False,False,
QHSMRYISOOYAKE-UCDZCMRKSA-N,XZEQIKBQYLFCFP-OFKODDFHSA-N,0.8131868,7.181255135243745,5.653255945395151,1.527999189848594,moderate,bindingdb|chembl|pubchem_confirmatory|bindingdb|chembl|pubchem_confirmatory,False,False,False,False,
QHSMRYISOOYAKE-UCDZCMRKSA-N,RAVBZQAQTVGKIV-XBPDSQQVSA-N,0.86206895,7.181255135243745,5.340844719059372,1.8404104161843735,moderate,bindingdb|chembl|pubchem_confirmatory|bindingdb|chembl|pubchem_confirmatory,False,False,False,False,
SUTZESLZZKRTBS-GNTVVGMTSA-N,BCZPEKVMAZSURM-GNTVVGMTSA-N,0.8064516,7.236572006437062,5.4146520889054095,1.8219199175316527,moderate,bindingdb|chembl|pubchem_confirmatory|bindingdb|chembl|pubchem_confirmatory,False,False,False,False,
OXZSGUHAEZREAM-UCDZCMRKSA-N,SNMPVJPFNDSUCO-QMCAYLGFSA-N,0.82417583,7.275724130399211,6.195179321278839,1.0805448091203722,broad,bindingdb|chembl|pubchem_confirmatory|bindingdb|chembl|pubchem_confirmatory,False,False,False,False,
IFXVSEZMBAULFI-CXBZOWBPSA-N,IDFMOMDVPSZDLO-CXBZOWBPSA-N,0.85227275,7.455931955649724,6.345823458122038,1.110108497527686,broad,bindingdb|chembl|pubchem_confirmatory|bindingdb|chembl|pubchem_confirmatory,False,False,False,False,
