scaffold_rank,scaffold_smiles,series_size,n_severe_cliffs,n_possible_pairs,cliff_density,smoothness_score,mean_pic50,median_pic50,potency_range,sd_pic50,mean_sali,max_sali,contains_patent_exclusive
67,O=C(c1ccc2[nH]c(-c3cc4ccc(CNC(=O)C56CC(C5)C6)nc4n3CC3CC3)nc2c1)N1CC[C@H]2CC[C@@H]1C2,6,0,15,0.0,1.0,7.09,7.09,0.346,0.12,1.137,2.96,True
68,O=C(c1ccc2[nH]c(-c3cc4ccc(Nc5cccnc5)nc4n3CC3CC3)nc2c1)N1CC2CCC1C2,6,0,15,0.0,1.0,6.807,6.927,1.081,0.399,3.179,6.146,False
69,O=C(c1ccc2[nH]c(-c3cc4ccc(-c5cncnc5)nc4n3CC3CC3)nc2c1)N1CC2CCC1C2,6,0,15,0.0,1.0,7.055,7.056,0.847,0.335,3.107,8.408,False
70,O=C(c1ccc2[nH]c(-c3cc4ccc(-c5cccnc5)cc4n3CC3CC3)nc2c1)N1CC2CCC1C2,6,0,15,0.0,1.0,7.162,7.106,0.923,0.356,2.376,5.017,False
71,O=C(c1ccc2cc(-c3cc4cccnc4n3CC3CC3)oc2c1)N1CC2CCC1C2,6,1,15,0.06667,0.93333,6.735,6.624,2.004,0.713,3.33,10.953,False
72,O=C1C=CC2=CC(c3ccc4cc(-c5nc6cc(C(=O)N7CC8CCC7C8)ccc6[nH]5)n(CC5CC5)c4n3)C=CC2=N1,6,0,15,0.0,1.0,7.288,7.172,0.802,0.315,2.349,4.741,True
73,O=C1CC[C@@H](COc2cccc3cc(-c4cc5ccc(C(=O)N6CCCCC6)cn5n4)n(CC4CC4)c23)N1,6,0,15,0.0,1.0,7.212,7.188,0.903,0.295,1.819,4.465,False
74,O=C1C=CC2=CC(c3ccc4cc(-c5nc6cc(C(=O)N7CC8CCC7C8)ccc6[nH]5)n(CC5CC5)c4c3)C=CC2=N1,6,0,15,0.0,1.0,7.416,7.389,0.689,0.269,2.176,5.033,True
75,O=C(c1ccc2cc(-c3cc4ccccc4n3CC3CC3)oc2c1)N1CCCCC1,6,0,15,0.0,1.0,6.272,6.489,1.56,0.576,2.316,8.74,False
76,O=C(c1ccc2cc(-c3cc4ccccc4n3CC3CC3)sc2c1)N1CCCCC1,6,0,15,0.0,1.0,6.093,6.064,0.726,0.281,1.281,2.604,False
77,O=C(c1ccc2cc(-c3cc4cccc(C5CCN(C(=O)C6CCCCO6)CC5)c4n3CC3CC3)nn2c1)N1CCCCC1,6,0,15,0.0,1.0,7.113,7.218,1.067,0.398,2.619,6.83,False
78,O=C1CCc2cc(-c3ccc4cc(-c5nc6cc(C(=O)N7CC8CCC7C8)ccc6[nH]5)n(CC5CC5)c4n3)ccc2N1,6,0,15,0.0,1.0,7.327,7.286,0.85,0.299,1.743,3.334,False
79,O=C(c1ccc2cc(-c3cc4ccc(N5CCCCC5)nc4n3CC3CC3)nn2c1)N1CC2CCC1C2,6,0,15,0.0,1.0,7.026,6.989,0.574,0.212,1.111,2.938,False
80,O=C(N[C@H]1CCNC1)c1ccc2[nH]c(-c3cc4cccnc4n3CC3CC3)nc2c1,6,1,15,0.06667,0.93333,5.172,5.236,2.319,0.854,5.76,11.716,False
81,O=C(Nc1ccccc1)c1ccc2cc(-c3nc4cc(C(=O)N5CCCCC5)ccc4[nH]3)n(CC3CC3)c2n1,6,0,15,0.0,1.0,6.754,6.907,1.52,0.523,1.236,3.07,False
82,O=C(c1ccc2[nH]c(-c3cc4cccnc4n3CC3CC3)nc2c1)N1CC[C@@H]2CC[C@H]1C2,6,0,15,0.0,1.0,7.055,7.055,0.325,0.116,0.985,2.467,False
83,O=C(c1ccc2[nH]c(-c3cccnc3)nc2c1)N1C[C@H]2CC[C@@H]1C2,6,0,15,0.0,1.0,5.174,5.0,0.523,0.27,1.131,2.652,False
84,O=C(c1ccc2[nH]c(-c3cccn3CC3CC3)nc2c1)N1CCCCC1,6,0,15,0.0,1.0,5.534,5.642,0.96,0.401,1.837,3.126,False
85,O=C(c1ccc2[nH]c(-c3cc4cccnc4n3CC3CC3)nc2c1)N1C[C@H]2CC[C@@H]1C2,6,0,15,0.0,1.0,5.551,5.213,1.719,0.74,4.286,6.148,False
86,O=C(c1ccc2cc(-c3cc4cccc(C5CCN(C(=O)C6CCCO6)CC5)c4n3CC3CC3)nn2c1)N1CCCCC1,6,0,15,0.0,1.0,6.939,6.939,1.519,0.607,3.945,10.513,False
87,O=C(c1ccc2[nH]c(-c3cc4ccc(CNC(=O)C56CC(C5)C6)nc4n3CC3CC3)nc2c1)N1CC[C@@H]2CC[C@H]1C2,6,0,15,0.0,1.0,7.09,7.09,0.346,0.12,1.137,2.96,False
88,O=C(c1ccc2[nH]c(-c3cc4ccc(-c5cn[nH]c5)nc4n3CC3CC3)nc2c1)N1CCCCC1,6,0,15,0.0,1.0,7.049,7.014,0.653,0.236,1.11,2.412,False
89,O=C(c1ccc2[nH]c(-c3cc4cccnc4n3CC3CC3)nc2c1)N1CC[C@H]2CC[C@@H]1C2,6,0,15,0.0,1.0,7.055,7.055,0.325,0.116,0.985,2.467,True
90,O=C(c1ccc2cc(-c3cc4ccccc4n3CC3CC3)oc2c1)N1CC2CCC1C2,5,0,10,0.0,1.0,6.839,6.64,1.054,0.484,1.898,3.294,False
91,O=C1CC[C@H](COc2cccc3cc(-c4cc5ccc(C(=O)N6CCCCC6)cn5n4)n(CC4CC4)c23)N1,5,0,10,0.0,1.0,6.603,6.745,1.35,0.536,3.472,7.68,False
92,O=C(NCc1ccc2cc(-c3nc4cc(C(=O)N5CC[C@@H]6CC[C@H]5C6)ccc4[nH]3)n(CC3CC3)c2n1)c1ccccc1,5,0,10,0.0,1.0,7.0,7.093,0.714,0.284,1.99,3.991,False
93,O=C(c1ccn2cc(-c3cc4ccccc4n3Cc3ccccn3)nc2c1)N1CCCCC1,5,0,10,0.0,1.0,5.835,6.0,0.827,0.37,1.133,4.135,False
94,O=C(NCc1ccc2cc(-c3nc4cc(C(=O)N5CC[C@H]6CC[C@@H]5C6)ccc4[nH]3)n(CC3CC3)c2n1)c1ccccc1,5,0,10,0.0,1.0,7.0,7.093,0.714,0.284,1.99,3.991,True
95,O=C1NCCc2cc3[nH]c(-c4cc5ccccc5n4CC4CCC4)nc3cc21,5,0,10,0.0,1.0,6.443,6.523,0.398,0.178,0.58,2.075,False
96,O=C1NCCc2cc3[nH]c(-c4cc5ccncc5n4CC4CC4)nc3cc21,5,0,10,0.0,1.0,6.05,6.0,0.125,0.068,0.27,0.678,False
97,c1ccc(-c2ccccc2)cc1,5,0,10,0.0,1.0,4.242,4.276,0.554,0.222,0.809,1.98,False
98,O=C(CNC(=O)c1ccccc1)NCc1ccccc1,5,0,10,0.0,1.0,5.466,5.622,0.705,0.3,1.4,2.864,False
99,O=C(/C=C/c1cncnc1)c1cnc2ccccc2c1-c1ccccc1,5,0,10,0.0,1.0,4.155,4.155,0.0,0.0,0.0,0.0,False
100,O=C(Cc1ccccc1)NCc1ccc2cc(-c3nc4cc(C(=O)N5CCCCN5)ccc4[nH]3)n(CC3CC3)c2n1,5,0,10,0.0,1.0,6.808,6.83,0.707,0.29,2.04,3.534,False
101,O=C1Cc2cc(-c3ccc4cc(-c5nc6cc(C(=O)N7CC8CCC7C8)ccc6[nH]5)n(CC5CC5)c4c3)ccc2N1,5,0,10,0.0,1.0,7.361,7.328,0.408,0.154,0.708,1.33,False
102,O=C1CCc2cc(-c3ccc4cc(-c5nc6cc(C(=O)N7CCCCC7)ccc6[nH]5)n(CC5CC5)c4n3)ccc2N1,5,0,10,0.0,1.0,7.185,7.194,0.258,0.097,0.588,0.855,False
103,O=C(c1ccc2cc(-c3cc4cccc(C5CCNCC5)c4n3CC3CC3)nn2c1)N1CC2CCC1C2,5,0,10,0.0,1.0,8.044,8.0,0.824,0.298,1.845,5.63,False
104,O=C(c1ccc2cc(-c3cc4ccccc4n3CC3CC3)nn2c1)N1CC2CCC1C2,5,0,10,0.0,1.0,7.529,7.523,0.898,0.327,1.468,3.913,False
105,O=C(c1ccc2[nH]c(-c3cc4ccc(-c5ccc6ncccc6c5)nc4n3CC3CC3)nc2c1)N1CC2CCC1C2,5,0,10,0.0,1.0,7.332,7.42,0.573,0.23,1.629,5.083,False
106,O=C(c1cc2c3c(c1)nc(-c1cc4ccccc4n1Cc1ccccc1)n3CCO2)N1CCCCC1,5,0,10,0.0,1.0,6.056,5.76,0.74,0.406,2.635,5.183,False
107,O=C(c1cc2c3c(c1)nc(-c1cc4ccccc4n1CC1CC1)n3CCO2)N1CCCCC1,5,0,10,0.0,1.0,6.03,5.76,1.87,0.728,3.365,7.156,False
108,O=C(N[C@@H]1CCCNC1)c1ccc2[nH]c(-c3cc4cccnc4n3CC3CC3)nc2c1,5,0,10,0.0,1.0,6.35,6.78,1.711,0.732,0.857,2.998,False
109,O=C(c1ccc2cc(-c3cc4ccc(N5CCC5)cc4n3CC3CC3)nn2c1)N1CCCCC1,5,0,10,0.0,1.0,6.235,6.272,1.479,0.546,3.03,6.044,False
110,O=C(c1ccc2cc(-c3cc4ccc(-c5ccccc5)cc4n3CC3CC3)oc2c1)N1CCCCC1,5,0,10,0.0,1.0,5.654,5.486,1.163,0.448,2.486,7.025,False
111,O=C(c1ccc2[nH]c(-c3cccnc3CC3CC3)nc2c1)N1C[C@H]2CC[C@@H]1C2,5,0,10,0.0,1.0,5.8,6.0,1.0,0.447,1.823,6.909,False
112,O=C(c1ccc2[nH]c(-c3cc4ccc(-c5ccc6[nH]c(=O)ccc6c5)nc4n3CC3CC3)nc2c1)N1CCCCC1,5,0,10,0.0,1.0,7.075,7.119,0.469,0.205,1.535,3.396,False
113,O=C(c1ccc2[nH]c(-c3cc4ccccc4n3CC3CC3)nc2c1)N1CC2CCC1C2,5,0,10,0.0,1.0,7.165,6.959,1.041,0.429,3.144,6.604,False
114,O=C(c1ccc2[nH]c(-c3cc4ccccc4[nH]3)nc2c1)N1CCCCC1,5,0,10,0.0,1.0,6.834,7.0,1.333,0.517,2.083,4.65,False
115,O=C(c1ccc2[nH]c(-c3cc4ccc(Nc5ccncc5)nc4n3CC3CC3)nc2c1)N1CCCCC1,5,0,10,0.0,1.0,7.153,7.114,0.592,0.222,1.424,3.915,False
116,O=C(c1ccc2[nH]c(-c3cc4ccc(-c5cn[nH]c5)cc4n3CC3CC3)nc2c1)N1CC2CCC1C2,5,0,10,0.0,1.0,6.904,6.936,0.332,0.146,0.836,1.476,False
117,O=C(c1ccc2[nH]c(-c3cc4ccc(CNC(=O)C56CC(C5)C6)nc4n3CC3CC3)nc2c1)N1CCCCN1,5,0,10,0.0,1.0,6.99,7.014,0.259,0.099,0.888,1.823,False
118,O=C(/C=C/c1ccccn1)c1c(-c2ccccc2)c2ccccc2[nH]c1=O,5,0,10,0.0,1.0,4.595,4.939,0.939,0.475,2.095,5.753,False
119,O=C1NCCc2cc3[nH]c(-c4cc5cccnc5[nH]4)nc3cc21,4,0,6,0.0,1.0,6.062,6.062,0.125,0.072,0.461,1.0,False
120,O=C(c1ccc2[nH]c(-c3cc4ccc(N5CCCC5=O)nc4n3CC3CC3)nc2c1)N1CCCCC1,4,0,6,0.0,1.0,6.15,6.102,0.586,0.284,1.651,2.996,False
121,O=C1NCc2ccc(-c3ccc4cc(-c5cc6ccc(C(=O)N7CCCCC7)cn6n5)n(CC5CC5)c4n3)cc21,4,0,6,0.0,1.0,6.293,6.403,0.572,0.266,1.207,3.064,False
122,O=C1NCc2ccc(-c3ccc4cc(-c5nc6cc(C(=O)N7CC8CCC7C8)ccc6[nH]5)n(CC5CC5)c4n3)cc21,4,0,6,0.0,1.0,7.587,7.595,0.684,0.323,1.972,3.447,False
123,O=C1CC(COc2nccc3cc(-c4cc5ccc(C(=O)N6CCCCC6)cn5n4)n(CC4CC4)c23)CN1,4,0,6,0.0,1.0,7.331,7.305,0.335,0.144,0.924,1.791,False
124,O=C1CCc2cc(-c3ccc4cc(-c5nc6cc(C(=O)N7CC8CCC7C8)ccc6[nH]5)n(CC5CC5)c4c3)ccc2N1,4,0,6,0.0,1.0,7.324,7.382,0.403,0.177,0.805,1.418,False
125,O=C1NCCC2C=c3[nH]c(C4Cc5ccccc5N4CC4CC4)nc3=CC12,4,0,6,0.0,1.0,6.185,6.016,0.707,0.349,1.053,2.312,False
126,O=C1C2=CC3C(=O)C=CC[C@@H]3C[C@@H]2Cc2ccccc21,4,0,6,0.0,1.0,3.345,3.158,0.934,0.441,3.624,3.624,False
127,O=C1CC(=O)C2C(=O)C3C(=O)c4ccccc4C[C@H]3C[C@H]2C1,4,0,6,0.0,1.0,3.345,3.158,0.934,0.441,1.918,3.513,False
128,O=C(NCc1ccc2cc(-c3nc4cc(C(=O)N5CCCCN5)ccc4[nH]3)n(CC3CC3)c2n1)c1cccnc1,4,0,6,0.0,1.0,7.077,7.068,0.169,0.073,0.506,0.847,False
129,O=C(NCc1ccc2cc(-c3nc4cc(C(=O)N5CCCCN5)ccc4[nH]3)n(CC3CC3)c2n1)c1ncccn1,4,0,6,0.0,1.0,7.088,7.054,0.837,0.349,2.988,4.419,False
130,O=C(c1ccn2cc(-c3cc4ccccc4n3Cc3ccncc3)nc2c1)N1CCCCC1,4,0,6,0.0,1.0,5.688,5.877,1.0,0.473,2.723,5.571,False
131,O=C(c1ccc2[nH]c(-c3cc4ccc(N5CCCCC5)cc4n3CC3CC3)nc2c1)N1CC2CCC1C2,4,0,6,0.0,1.0,7.425,7.32,0.587,0.27,1.797,3.516,False
132,O=C(/C=C/c1ccccn1)C1C(=O)NC2CCCCC2C1c1ccccc1,4,0,6,0.0,1.0,4.704,4.939,0.939,0.47,2.019,6.34,True
133,O=C(/C=C/c1cccnc1)C1C(=O)NC2NCCCC2C1c1ccccc1,4,0,6,0.0,1.0,4.939,4.939,0.0,0.0,0.0,0.0,True
134,O=C(c1ccc2cc(-c3cc4ccc(-c5ccc6[nH]c(=O)ccc6c5)cc4n3CC3CC3)nn2c1)N1CCCCC1,4,0,6,0.0,1.0,7.099,7.126,0.301,0.129,0.785,1.914,False
135,O=C(c1ccc2c(c1)nc1n2Cc2cccc(c2)-c2ccccc2CCCCn2c-1cc1cccnc12)N1CCCCC1,4,0,6,0.0,1.0,7.339,7.358,0.715,0.318,2.889,4.381,False
136,O=C(c1ccc2cc(-c3cc4ccc(-c5ccc6[nH]ncc6c5)nc4n3CC3CC3)nn2c1)N1CCCCC1,4,0,6,0.0,1.0,6.112,6.013,1.288,0.623,3.352,6.821,False
137,O=C(c1ccc2c(c1)nc(-c1cccn1CC1CC1)n2CC1CCC1)N1C[C@H]2CC[C@@H]1C2,4,0,6,0.0,1.0,5.761,5.761,0.0,0.0,0.0,0.0,True
138,O=C(c1ccc2c(c1)nc(-c1cc3cccnc3n1CC1CC1)n2C1CC1)N1[C@H]2CC[C@@H]1CC2,4,0,6,0.0,1.0,7.251,7.262,0.694,0.289,2.084,3.02,False
139,O=C(N[C@@H]1CCNC1)c1ccc2[nH]c(-c3cc4cccnc4n3CC3CC3)nc2c1,4,0,6,0.0,1.0,5.285,5.213,1.905,0.801,6.232,11.075,False
140,O=C(c1ccc2[nH]c(-c3cc4scc(-c5cn[nH]c5)c4n3CC3CC3)nc2c1)N1C[C@H]2CC[C@@H]1C2,4,0,6,0.0,1.0,7.437,7.374,0.54,0.242,1.733,3.474,False
141,O=C(c1ccc2cc(-c3cc4ccc(-c5ccccc5)cc4n3CC3CC3)sc2c1)N1CC2CCC1C2,4,0,6,0.0,1.0,5.967,6.06,1.022,0.472,3.003,5.135,False
142,O=C(c1ccc2[nH]c(-c3cc4ccc(-c5ccc(=O)[nH]c5)nc4n3CC3CC3)nc2c1)N1CC2CCC1C2,4,0,6,0.0,1.0,7.065,7.103,0.586,0.244,1.566,2.773,False
143,O=C(c1ccc2[nH]c(-c3cc4scc(C5CCC5)c4n3CC3CC3)nc2c1)N1C[C@H]2CC[C@@H]1C2,4,0,6,0.0,1.0,7.406,7.408,0.635,0.259,2.976,4.498,False
144,O=C(c1ccc2cc(-c3cc4ccc(N5CCCCC5)cc4n3CC3CC3)oc2c1)N1CC2CCC1C2,4,0,6,0.0,1.0,6.709,6.617,1.797,0.936,6.813,14.377,False
145,O=C(c1ccc2[nH]c(-c3cc4ccc(Nc5ccncn5)nc4n3CC3CC3)nc2c1)N1CC2CCC1C2,4,0,6,0.0,1.0,6.878,6.877,0.069,0.035,0.299,0.651,False
146,O=C(c1ccc2[nH]c(-c3cc4ccc(-c5cccnc5-c5cncs5)nc4n3CC3CC3)nc2c1)N1CCCCC1,4,0,6,0.0,1.0,6.659,6.675,0.459,0.242,0.847,1.549,False
147,O=C(c1ccc2[nH]c(-c3cc4ccc(-c5cccnc5)cc4n3CC3CC3)nc2c1)N1CCCCC1,4,0,6,0.0,1.0,7.261,7.25,0.444,0.241,1.511,2.856,False
148,O=C(c1ccc2[nH]c(-c3cc4ccc(NC5CC5)nc4n3CC3CC3)nc2c1)N1CCCCC1,4,0,6,0.0,1.0,6.892,6.996,0.53,0.249,1.371,3.075,False
149,O=C(c1ccc2cc(-c3cc4ccnc(OCCn5cnnc5)c4n3CC3CC3)nn2c1)N1CCCCC1,4,0,6,0.0,1.0,7.305,7.46,1.097,0.485,2.58,4.767,False
150,O=C(c1ccc2cc(-c3cc4cccc(OCCn5cncn5)c4n3CC3CC3)nn2c1)N1CCCCC1,4,0,6,0.0,1.0,7.492,7.523,0.477,0.198,1.176,1.786,False
151,O=C(c1ccc2cc(-c3cc4cccc(OCCn5cccn5)c4n3CC3CC3)nn2c1)N1CCCCC1,4,1,6,0.16667,0.83333,6.829,6.761,2.207,0.925,5.686,12.551,False
152,O=C(c1ccc2[nH]c(-c3cc4ccc(-c5ccc6[nH]ccc(=O)c6c5)cc4n3CC3CC3)nc2c1)N1CC2CCC1C2,4,0,6,0.0,1.0,7.334,7.421,0.822,0.36,2.234,3.836,False
153,O=C(/C=C/c1cccnc1)c1c(-c2ccccc2)c2cccnc2[nH]c1=O,4,0,6,0.0,1.0,4.939,4.939,0.0,0.0,0.0,0.0,False
154,O=C(/C=C/c1nc2ccccc2[nH]1)c1c(-c2ccccc2)c2ccccc2[nH]c1=O,4,0,6,0.0,1.0,4.116,4.155,0.155,0.077,0.263,0.552,False
