scaffold_rank,scaffold_smiles,series_size,n_severe_cliffs,n_possible_pairs,cliff_density,smoothness_score,mean_pic50,median_pic50,potency_range,sd_pic50,mean_sali,max_sali,contains_patent_exclusive
155,O=C1NCc2cc(-c3ccc4cc(-c5cc6ccc(C(=O)N7CCCCC7)cn6n5)n(CC5CC5)c4n3)ccc21,4,0,6,0.0,1.0,6.344,6.354,1.205,0.495,2.48,4.419,False
156,O=C(c1ccn2cc(-c3cc4ccccc4n3Cc3cccnc3)nc2c1)N1CCCCC1,3,0,3,0.0,1.0,5.918,6.0,0.247,0.142,1.005,1.604,False
157,O=C(NCc1ccc2cc(-c3nc4cc(C(=O)N5[C@H]6CC[C@@H]5CC6)ccc4[nH]3)n(CC3CC3)c2n1)c1ccccc1,3,0,3,0.0,1.0,7.072,6.86,0.737,0.412,3.718,6.043,False
158,O=C(NCc1ccc2cc(-c3nc4cc(C(=O)N5CC[C@H]6CC[C@@H]5C6)ccc4n3C3CC3)n(CC3CC3)c2n1)C1CC1,3,0,3,0.0,1.0,7.226,7.274,0.255,0.134,1.159,1.301,True
159,O=C(c1ccc2[nH]c(-c3cc4ccc(C5CCC5)nc4n3CC3CC3)nc2c1)N1CC2CCC1C2,3,0,3,0.0,1.0,7.114,7.066,0.421,0.215,1.838,3.138,False
160,O=C1C=CC(=O)c2ncccc21,3,0,3,0.0,1.0,5.911,6.0,0.77,0.393,0.0,0.0,False
161,O=C1CC(COc2cccc3cc(-c4nc5cc6c(cc5[nH]4)CCNC6=O)n(CC4CC4)c23)CN1,3,0,3,0.0,1.0,6.598,6.707,0.44,0.239,1.159,1.835,False
162,O=C1NCc2cc(-c3ccc4cc(-c5cc6ccc(C(=O)N7CC8CCC7C8)cn6n5)n(CC5CC5)c4n3)ccc21,3,0,3,0.0,1.0,7.625,7.569,0.786,0.396,2.984,4.254,False
163,O=C1NCc2ccc(-c3ccc4cc(-c5cc6ccc(C(=O)N7CC8CCC7C8)cn6n5)n(CC5CC5)c4n3)cc21,3,0,3,0.0,1.0,7.404,7.387,0.38,0.191,1.381,1.881,False
164,O=C1CCCN1c1ccc(-c2ccc3cc(-c4nc5cc(C(=O)N6CC7CCC6C7)ccc5[nH]4)n(CC4CC4)c3n2)cn1,3,0,3,0.0,1.0,7.232,7.027,0.979,0.521,3.307,6.715,False
165,O=C(c1ccc2[nH]c(-c3cc4ccc(N5CCC5)cc4n3CC3CC3)nc2c1)N1CC2CCC1C2,3,0,3,0.0,1.0,6.582,6.577,0.63,0.315,2.741,3.828,False
