aid,category,layer,endpoint,flags,expected_subdir,actual_path,file_exists,file_bytes,status,n_data_rows,n_columns,has_sid,has_cid,has_smiles,activity_types,verify_note,issues
626724,A,A,Pct_inh,,pubchem/confirmatory,data/raw/pubchem/confirmatory/AID_626724_datatable_all.csv,True,624,PASS,2,10,True,True,False,Active,,
626728,A,A,Pct_inh,,pubchem/confirmatory,data/raw/pubchem/confirmatory/AID_626728_datatable_all.csv,True,636,PASS,2,10,True,True,False,Inactive,,
1069614,A,A,Pct_inh,,pubchem/confirmatory,data/raw/pubchem/confirmatory/AID_1069614_datatable_all.csv,True,471,PASS,1,10,True,True,False,Inactive,,
1069618,A,A,Pct_inh,,pubchem/confirmatory,data/raw/pubchem/confirmatory/AID_1069618_datatable_all.csv,True,907,PASS,5,10,True,True,False,Inactive,,
588488,A,A,IC50,,pubchem/confirmatory,data/raw/pubchem/confirmatory/AID_588488_datatable_all.csv,True,14615,PASS,136,13,True,True,False,Inactive,,
588559,A,A,IC50,,pubchem/confirmatory,data/raw/pubchem/confirmatory/AID_588559_datatable_all.csv,True,2884,PASS,30,9,True,True,False,Active|Inactive,,
588560,A,A,IC50,,pubchem/confirmatory,data/raw/pubchem/confirmatory/AID_588560_datatable_all.csv,True,11023,PASS,102,13,True,True,False,Active|Inactive,,
626735,C,C,Kinact_Ki,,pubchem/literature_derived,data/raw/pubchem/literature_derived/AID_626735_datatable_all.csv,True,608,PASS,1,11,True,True,False,Unspecified,,
626738,C,C,Kinact_Ki,,pubchem/literature_derived,data/raw/pubchem/literature_derived/AID_626738_datatable_all.csv,True,608,PASS,1,11,True,True,False,Unspecified,,
712876,C,C,Kinact_Ki,,pubchem/literature_derived,data/raw/pubchem/literature_derived/AID_712876_datatable_all.csv,True,1711,PASS,11,12,True,True,False,Unspecified,,
725671,C,C,Kinact_Ki,,pubchem/literature_derived,data/raw/pubchem/literature_derived/AID_725671_datatable_all.csv,True,970,PASS,4,12,True,True,False,Unspecified,,
1069608,C,C,Kinact_Ki,,pubchem/literature_derived,data/raw/pubchem/literature_derived/AID_1069608_datatable_all.csv,True,1046,PASS,5,12,True,True,False,Unspecified,,
1196521,C,C,Kinact_Ki,,pubchem/literature_derived,data/raw/pubchem/literature_derived/AID_1196521_datatable_all.csv,True,695,PASS,1,12,True,True,False,Unspecified,,
1364668,C,C,Kinact_Ki,,pubchem/literature_derived,data/raw/pubchem/literature_derived/AID_1364668_datatable_all.csv,True,1037,PASS,4,12,True,True,False,Unspecified,,
1422898,C,C,Kinact_Ki,,pubchem/literature_derived,data/raw/pubchem/literature_derived/AID_1422898_datatable_all.csv,True,1421,PASS,8,12,True,True,False,Unspecified,,
1422904,C,C,Kinact_Ki,,pubchem/literature_derived,data/raw/pubchem/literature_derived/AID_1422904_datatable_all.csv,True,682,PASS,1,12,True,True,False,Unspecified,,
2076402,C,C,Kinact_Ki,,pubchem/literature_derived,data/raw/pubchem/literature_derived/AID_2076402_datatable_all.csv,True,679,PASS,1,12,True,True,False,Unspecified,,
651867,C,C,Kinact_Ki,,pubchem/literature_derived,data/raw/pubchem/literature_derived/AID_651867_datatable_all.csv,True,1351,PASS,1,15,True,True,False,Active,,
2041348,D,D,FP_binding,,pubchem/secondary,data/raw/pubchem/secondary/AID_2041348_datatable_all.csv,True,957,PASS,1,13,True,True,False,Unspecified,,
2041349,D,D,FP_binding,,pubchem/secondary,data/raw/pubchem/secondary/AID_2041349_datatable_all.csv,True,965,PASS,1,13,True,True,False,Active,,
2053867,D,D,FP_binding,,pubchem/secondary,data/raw/pubchem/secondary/AID_2053867_datatable_all.csv,True,950,PASS,1,13,True,True,False,Active,,
2053915,D,D,Enzymatic,,pubchem/secondary,data/raw/pubchem/secondary/AID_2053915_datatable_all.csv,True,964,PASS,1,13,True,True,False,Active,,
2053917,D,D,FP_binding,,pubchem/secondary,data/raw/pubchem/secondary/AID_2053917_datatable_all.csv,True,966,PASS,1,13,True,True,False,Active,,
2193457,D,D,Enzymatic,,pubchem/secondary,data/raw/pubchem/secondary/AID_2193457_datatable_all.csv,True,946,PASS,1,13,True,True,False,Active,,
1625405,D,D,Displacement,,pubchem/secondary,data/raw/pubchem/secondary/AID_1625405_datatable_all.csv,True,962,PASS,1,13,True,True,False,Active,,
